wiI7pd,d4r55,rsqaWe,bulan_tahun
"Tempatnya nyaman untuk liburan keluarga, tpi aq pribadi suka klo pas sepi. Bebas bisa renang",laila saadah,4 tahun lalu,February 2021
Tempatnya sejuk Krn sumber mata air. Bisa unt mandi & bagus unt foto2 selfi,Dwi Haryanto,4 tahun lalu,February 2021
"tempat yg sangat bagus bisa buat trapi kulit mati,  karna ikannya seperti ikan gapi pemakan lumutt",Vavan,4 tahun lalu,February 2021
Kemenangan yang lapang,galaxy Robot,4 tahun lalu,February 2021
"Air yang jernih.makanan dan barang""di situ serba murah.termasuk tiket masuk juga murah.",rochmad soleh,4 tahun lalu,February 2021
Pemandanganya asri. Sayang airnya agak kotor. Tempat buat duduk2 juga kurang,Basori Ayunda,4 tahun lalu,February 2021
Sebuah sumber alami yg bersih dan segar,Dedy kusuma,4 tahun lalu,February 2021
"Hanya untuk mandi saja,",habibie robbie,4 tahun lalu,February 2021
Udara Sejuk dan Air Alami yg Menyegarkan Untuk Berenang,Anir Furna Firdaus,4 tahun lalu,February 2021
Nyaman,suropandu,4 tahun lalu,February 2021
"Tiket masuk hanya 5000 rupiah, parkir motor 3000, ban 5000. Air jernih dan segar cocok untuk anak-anak maupun dewasa. Sudah ada tempat pembelian pakaian renang dan alat-alat renang.",Farhan Yanasta,4 tahun lalu,February 2021
Mantab,Khusnul Pramesti,4 tahun lalu,February 2021
Tempat rekreasi keluarga yg murah meriah,Sujito,4 tahun lalu,February 2021
Senang,Dower 123,4 tahun lalu,February 2021
Sangat sejuk dan nyaman,SOESVARLINDAHNINGSIH SDN GUNUNGANYAR TAMBAK 628,4 tahun lalu,February 2021
Seru dan ramai pengunjung. Tiket murah,Wahyu Bagas Pratama,4 tahun lalu,February 2021
Tempat wisata alam yg mumer 👍👍 …,NURSYAMSI MALANG,4 tahun lalu,February 2021
Tempatnya asri sejuk,ludfi sulivan,4 tahun lalu,February 2021
Luar biasa,agim 1408,4 tahun lalu,February 2021
Asri,fathur rohman,4 tahun lalu,February 2021
Wisata air murah dan nyaman sih ini 👍 …,fitrii ags,4 tahun lalu,February 2021
pemandian alam sumbersira desa Putuktejo kecamatan Gondanglegi merupakan pemandian alami yg di bangaun Pihak Desa pada tahun 2016,Roni Alim BK,4 tahun lalu,February 2021
"Tempatnya alami,segar. Aksesnya juga mudah. Bisa berenang juga.",Rahmaddi Azis,4 tahun lalu,February 2021
"Tiketnya murah cuma 5k per orang, airnya jernih dan segar",Muhammad Naufal Saladin K,4 tahun lalu,February 2021
Murah dan bersih,Harmai Mukhlis,4 tahun lalu,February 2021
"Bagus, lumayab buat refreshing",M. Irfan Yusuf,4 tahun lalu,February 2021
air nya bening dan seger,mas bro,4 tahun lalu,February 2021
Saya gowes ke sini... Terima kasih yah udah subscribe di YPWB Channel,YPWB,4 tahun lalu,February 2021
Tatanan penjual tidak bagus kurang di tata,Rudi Hermanto,4 tahun lalu,February 2021
Udara sejuk di pagi hari .tetap jaga kebersihan yaa sluurr .,Hadi Tri,4 tahun lalu,February 2021
"Masih tahap renovasi,kolam utama lumayan dalam.
Banyak tumbuhan ganggang air & ikan wader.",angga putro prasetyo,4 tahun lalu,February 2021
Sip sip,Dhent Odhent,4 tahun lalu,February 2021
"Bagi yg pengen jauh dr hiruk pikuk kota untuk refresh pikiran biar ga penat wajib kesini, saya paling suka sumber disini dekat dengan sawah dan sungai, bosan di sumber tgl main ke sawah sama sungai 👍 …",Jimboo 00,4 tahun lalu,February 2021
Matahari terbenam,Deno Nawari,4 tahun lalu,February 2021
Suasana sejuk adem airsumber asli tidak membahayakan menyenangkanlingkungan masih alami,Susiyo Hadi,4 tahun lalu,February 2021
Sumber mata air Alami,Bang jarwo chaneel,4 tahun lalu,February 2021
Sangaaaak...,Eri Sipit,4 tahun lalu,February 2021
"Tempatnya nyaman..msih asri..
Hrg tiket juga murah meriah.. wajib dikunjungi gaess👍 …",NYANTE LATUYA 09,4 tahun lalu,February 2021
Bagus banget airnya jernih pokoknya ayolah kesini juga murah tiket masuknya 3000.asri tempatnya,Eka Lutfia,4 tahun lalu,February 2021
"Suasananya enak, sejuk dan bagus",imam Syafi'i,4 tahun lalu,February 2021
Alami dan air nya jernih,Wahyu Wijaya,4 tahun lalu,February 2021
Anying dikasih jalan lewat kuburan,arik alfianto,4 tahun lalu,February 2021
air alami jernih,zhivanka elmayraRhamadani,4 tahun lalu,February 2021
Airnya dingin. Bagus alami..,Esty Reina,4 tahun lalu,February 2021
Tempatnya indah bangettt,Picil Kecil,4 tahun lalu,February 2021
Bagus banget sih recommended nih,Ogi Uroto,4 tahun lalu,February 2021
Airnya jernih sekali dan dingin,Ali Habib,4 tahun lalu,February 2021
Tambahkanmm,yayan zidan,4 tahun lalu,February 2021
Sumbernya mantab jernih airnya mengalir deras,den bagus,4 tahun lalu,February 2021
Fasilitas utk pengunjung lbh diperbaiki dan kebersihan lbh dijaga,erwin kurniawanbkm,4 tahun lalu,February 2021
Segar bgt airnya asli sumber,Tirta Latifah,4 tahun lalu,February 2021
Menyegarkan,Supeno Malang,4 tahun lalu,February 2021
Cocok untuk liburan bersama keluarga dengan fasilitas yang lengkap,Dadang Kurniawan,4 tahun lalu,February 2021
"seger, harga tiketnya juga murah... cocok buat piknik.",edie purnomo,4 tahun lalu,February 2021
Gadang family,Yusfan Trenggana,4 tahun lalu,February 2021
Tempat berenang yg menyenangkan jaga terus kejernihan air nya,ROKU POENYA,4 tahun lalu,February 2021
"Tiket masuk yg ekonomis, kami berfoto dan jalan2. Mushola harus diperbaiki lagi.",Retno Ayu S,4 tahun lalu,February 2021
Bagus buat wisata,sahal _onix,4 tahun lalu,February 2021
Bening..,Zainuddin Effendi,4 tahun lalu,February 2021
"This place is like a hidden paradise. The water is clearly visible so you can see the bottom. Natural aquascape I can call it, where fishes can live in harmony with nature. Probably one of the source of water to irrigate the rice field …",yoogha1725,4 tahun lalu,February 2021
Kolam dengan air yg sangat segar alami,fellah auracintya,4 tahun lalu,February 2021
"Dipasang ginian ditengah sumber, bukanya jadi bagus tapi malah aneh -__-",anas muslimin,4 tahun lalu,February 2021
Sudah berkembang baik lokasinya,Madiihah Karuna,4 tahun lalu,February 2021
Tempat yang bagus,Budhi Harjo Sanyoto,4 tahun lalu,February 2021
"Semakin sepi semakin nyaman....kamar mandi tersedia,tmpat makan ada, persewaan ban dan celana untuk berenang juga ada.
Lokasi sumber berdekatan dengan persawahan",pakchoy choirul,4 tahun lalu,February 2021
"Tempatnya adem dan bersih, sumber airnya seger. Banyak warung yg jualan camilan, gorengan panas sampe kopi panas. Rekomended kalo buat refreshing 👍👍 …",Agung Setiawan,4 tahun lalu,February 2021
"Tempatnya bersih, airnya jernih,tiket masuk dan  makanan yg ada disana juga ramah kantong",Fina Ashari,4 tahun lalu,February 2021
"Mending kesini pas bukan weekend, rame banget soalnya. Aernya jadi butek soalnya pasirnya naik",Distianto Agung,4 tahun lalu,February 2021
Tempatnya nyaman dan bersih ☺,Rovino 46,4 tahun lalu,February 2021
Tempatnya sangat asri udaranya sejuk,Agiek,4 tahun lalu,February 2021
Sumber air yang jernih dan segar,noer cahyono,4 tahun lalu,February 2021
Pemandian asli sumber murah meriah buat liburan kluarga,Riyan Pratama,4 tahun lalu,February 2021
"Airnya jernih bgt, tempat favorit berenang",Achmad Haris Setiawan,4 tahun lalu,February 2021
"Bagus dan cocok buat wisata keluarga ada tempat bermain untuk anak"",permandian air yg jernih,gasebo tempat kumpul keluarga/sahabat,makanan yg murah meriah...cuman satu untuk pengelola tolong diperhatikan kebersihanx terima kasih",Jonathan Priyono,4 tahun lalu,February 2021
Tempat yang nyaman untuk mandi dan nongkrong ngopi,Onosogrem Oke,4 tahun lalu,February 2021
Pemandiannya kurang bagus kayak gak terlalu terawat,Kolak Pisang,4 tahun lalu,February 2021
Tempatnya bagus air nya bening banget cocok utk wisataa keluarga ada bisa renang di sumbersira nya bisa juga di sumberwadon nya,Raul Alamsyah,4 tahun lalu,February 2021
"Tepat kalo cari yang dingin + tenang
Air ga begitu dingin
10 rb dapet kembalian _Masuk - Parkir.",vicky armans,4 tahun lalu,February 2021
"Bersih, alami",Vivi Afni,4 tahun lalu,February 2021
tempat rekreasi yg ringan di kantong,Sisca Andriani,4 tahun lalu,February 2021
"Tempat kolam renang alami, airnya dingin",Masrury,4 tahun lalu,February 2021
Airnya bening mantap di gunakan untuk irigasi sawah,Joshua Wijaya,4 tahun lalu,February 2021
Woww,Husni Rojabi,4 tahun lalu,February 2021
Seger dong renang sama ikan,Amilia ningtyas,4 tahun lalu,February 2021
"Airnya yang jernih melimpah ruah, dengan peralatan yg sederhana kita bisa selfi dalam air yang jernih, layak dikunjungi 👌 …",Chasan Romli,4 tahun lalu,February 2021
"Indah sejuk aman nyaman ,  asyik utk sekeluarga",Joko Banter,4 tahun lalu,February 2021
"Seruu,, bagus buat foto dibawah air .. kesana google map dilewatin kuburan😪 …",Nesi Setya Ningtyas,4 tahun lalu,February 2021
😚😚 …,Firda Cindra Kasih Damayati,4 tahun lalu,February 2021
"Tempat yang bagus, terasa nyaman",dody angga,4 tahun lalu,February 2021
Sejuk,Dessy Ekaviana,4 tahun lalu,February 2021
kippah,Sigit Purwa,4 tahun lalu,February 2021
Rawonya istimewa 😍 …,SYAHA CHANNEL,4 tahun lalu,February 2021
Tempat nya sejuk dan adem bnget tpi vasilitasnya kurang,Khusaeri Alfatar,4 tahun lalu,February 2021
Bagus,Atif Syam,4 tahun lalu,February 2021
"Rapat pertanggung jawaban ketua lama, dan pemilihan ketua baru.",Anto Koi Farm,4 tahun lalu,February 2021
Alamiah murah seger,Nanang Ngalam,4 tahun lalu,February 2021
#asek..,Yuli Ari,4 tahun lalu,February 2021
Cukup bagus... dengan harga tiket yg murah cuma 5rb... sudah bisa renang dan menyelam melihat tuumbuhan bawah air,Guritno Only,4 tahun lalu,February 2021
Asri dan alami,Arif Dwiyono,4 tahun lalu,February 2021
Butuh beberapa sentuhan lagi biar lebih keren,J Moko,4 tahun lalu,February 2021
Masih alami,Bagus Permana,4 tahun lalu,February 2021
Airnya sueger..,Muhammad Amirudin,4 tahun lalu,February 2021
"Tempat yg tenang alami dan asri
Cocok bagi rekan2 yg berkantong krg tebel...hemat irit dan meriah",Aman Jaya,4 tahun lalu,February 2021
Murah tiket masuk cm 5000 mandi sepuasx berenangbsepuasx bebas kaporit lg,Stevani Gresya,4 tahun lalu,February 2021
Asyik tempat nya .. mumer,andik mustofa,4 tahun lalu,February 2021
Bagus airnya jernih banget,Ade Purnama,4 tahun lalu,February 2021
Tempat yang bagus untuk istirahat dan mandi bersama,SiduL 1997,4 tahun lalu,February 2021
Suasananya dingin enak buat refresing,Pak Wan,4 tahun lalu,February 2021
"Tiketnya murah, parkir juga murah, semoga pelayanan loketnya bisa lebih ramah.",Hanafi Wahyu Novantio,4 tahun lalu,February 2021
Masok,Dwika Gaisma,4 tahun lalu,February 2021
Tempatnya sejuk & menyegarkan...,Akhmad Suyuti,4 tahun lalu,February 2021
Latar belakang sawah-sawah mulai hilang karena pembangunan perumahan 😞😢😭 …,nurie cahaya,4 tahun lalu,February 2021
"Tempat pemandian yang sejuk dan segar dengan pemandangan yang indah. Harga masuk yang terjangkau 3K tiket masuk dan 5K parkir, disekitarnya Banyak warung dan tempat makan",Arya Wahyu Pratama,4 tahun lalu,February 2021
Mantaplahh..,Edwin Wardiantara,4 tahun lalu,February 2021
mantap sekalii,going merry,4 tahun lalu,February 2021
Dingin,black eagle,4 tahun lalu,February 2021
Jernih,Kak Ridho,4 tahun lalu,February 2021
Ydgze,Rafli Ardiansyah,4 tahun lalu,February 2021
Udaranya segar,kukuh samudra,4 tahun lalu,February 2021
"Tempat yg cukup tenang buat yang ingin refresing dari keruwetan kota. Tidak jauh juga dari kota, tempatnya rindang dan airnya jernih. Tidak begitu luas sih, cuman seger aja liatnya, pemandangannya sawah dan sungai. Disana juga udah ada …",Iza Yusita Sari,4 tahun lalu,February 2021
Jaga Kelestarian Alam Supaya Anak Cucu kita Juga Bisa Menikmati Indahnya SUMBERSIRA,Sumur Windu 87,4 tahun lalu,February 2021
Rekom para gowes,Dewi NH,4 tahun lalu,February 2021
Lebih mantap pokoknya,Hakim musa El jabbar,4 tahun lalu,February 2021
good seger,Sidiq Nugroho Official,4 tahun lalu,February 2021
Baguuss sekali,Muhammad Fuad,4 tahun lalu,February 2021
Bagus,ATHAKUN BG,4 tahun lalu,February 2021
Sekarang tanaman di dalam airnya menjadi lebih sedikit,Hasyim,4 tahun lalu,February 2021
Mantap,Luthfiansyah Vanggadany,4 tahun lalu,February 2021
"Sumber mata air yg masih asri, cocok untuk anda yg ingin kabur dari keramaian kota",Frisko Yulian M,4 tahun lalu,February 2021
Segerr.. selalu mampir kesini sebelum pulang dari pantai,Bagus Indra S.D,4 tahun lalu,February 2021
bagus asri alami,Nasrul maju mapan ajinomoto,4 tahun lalu,February 2021
"airnya jernih, asri👍🏻 …",Dimas Nur Isa Prahesti,4 tahun lalu,February 2021
"sekarang tambah jelek temapatnya gk alami malah di kasih tulisan SUMBER SIRA di perairan ya , gk natural .",gigih gemilang,4 tahun lalu,February 2021
"Tempat nya bagus banget...
Masih alami dengan bebatuan...
Cocok untuk keluarga",Nifa Diana,4 tahun lalu,February 2021
👌 …,Sukardi Odong,4 tahun lalu,February 2021
"Di masa pandemi covid ini apakah sumber sira tetap buka?
Mohon informasinya",Fina anggraeni,4 tahun lalu,February 2021
Sumber Sira merupakan salah satu dari Ratusan Mata air alami di Wilayah Kab. Malang yang memiliki cirikhas tersendiri yakni Kata air yang berada di bawah Pohon Besar disebelah Makam Kuno yang dipercaya warga Sekitar sebagai Ulama dari Jawa …,Penerangan Kodim 0818,4 tahun lalu,February 2021
Pengen ngadem disini tempatnya,muhamad sobirin,4 tahun lalu,February 2021
Segeeer tapi kamar mandinya aja sih yang kurang nyaman,Dea yustika Hidayah,4 tahun lalu,February 2021
Kurang jernih,Stefhani Gita,4 tahun lalu,February 2021
"Karena sejuk, segar, dan luas.",Muhammad Sultan Alfansyah,4 tahun lalu,February 2021
Keren,Nando Mahendra Putra,4 tahun lalu,February 2021
Mayan lah,Givanni,4 tahun lalu,February 2021
"Lokasinya dekat persawahan, sumber(mata air) sangat bening .",MIKE WIDYA,4 tahun lalu,February 2021
1.bagus selain tempatnya bersih juga adem jd meski renang e diatas jam 11 GK kawatir kepanasan 🤭 masalah harga makanan y lumayan masih ramah di kantong cuma gak ada tempat penitipan barang.e jd kurang tenang kalo pas renang hehe …,Endang Setiawati,4 tahun lalu,February 2021
Tempatnya sejuk dan view sawahnya juga,U anime,4 tahun lalu,February 2021
Sangat bagus saya sarankan bagi yg mau kesana wajib membawa go pro sama pakai kaca mata renang,Bakhrul hatta Al ghifari,4 tahun lalu,February 2021
Sejuk,Rizky Septia Putra,4 tahun lalu,February 2021
Bener2 mata air yg jernih.sampi terlihat cetek padahal pas loncat ternyata dlm bgt di tengah.tempatnya ada di tengah2 sawah.lumayan jauh daru kota malang.tiket masuk cuma 5.sayangnya ga di kasih yempat penitupan barang.untuk fasilitas ada warung.mushola juga.pokonya seneng kalo setelah dari pantai langsung aja tuh.sejalur arahnya.,norma lika,4 tahun lalu,February 2021
masih minim fasilitas,Mariyono TOPENG,4 tahun lalu,February 2021
Cocok buat hunting foto underwater,Shariar Ariel,4 tahun lalu,February 2021
Suwejuk udara e,Luqman Aziz,4 tahun lalu,February 2021
"Airnya bersih, bening, masih alami",Bima A. F.,4 tahun lalu,February 2021
Tempatnya nyaman.,Arema Afid ongis nade,4 tahun lalu,February 2021
Airnya bersih...,kapur tulis,4 tahun lalu,February 2021
"Airnya jernih banget, jangan lupa bawa kacamata renang",Mukhlash Amali,4 tahun lalu,February 2021
Sumber sira ini berada di kecamatan Gondang Legi. Sumber mata air ini lokasinya cukup dekat dengan sumber maron dan karakter airnya hampir mirip dengan sumber sira yang ada di Tulungagung. …,Agen Nurse Call Videotron,4 tahun lalu,February 2021
"Airnya jernih,segar,dan bersih",Nanda Putri,4 tahun lalu,February 2021
"Tempat kurang bersih, ganggang air nya mulai banyak berkurang karena sering di injak2 dam tidak ada upaya penghijauan kembali",Effend Kidnepp,4 tahun lalu,February 2021
Sejook,Ifa Rodiyatul Isa,4 tahun lalu,February 2021
"Kolam Semi Alami terletak di selatan Malang, tidak terlalu jauh dari kota dan hanya membutuhkan waktu satu jam perjalanan menuju lokasi. …",Aldwin Nouvalrifqi,4 tahun lalu,February 2021
Lumayaan bgt pemandangan bagus,Dinda Mutiara Sakinah,4 tahun lalu,February 2021
"Ini adalah tempat wisata yang masih sepi. Berada di desa Putukrejo kecamatan Gondanglegi kabupaten Malang. Wisata ini berada tidak jauh dari perkampungan penduduk, tetapi kondisi alamnya masih alami. …",Septia N A,4 tahun lalu,February 2021
"Tempat bersih,pengelolaan tenpat cukup baik",Wahyu Hidayat,4 tahun lalu,February 2021
Tempatnya masih alami dan sejuk,Abdul Chalim,4 tahun lalu,February 2021
"Air langsung dari sumber mata air,tempat asri berada didekat persawahan .",MAS IRR,4 tahun lalu,February 2021
Jernih banget airnya. Buat foto foto cantik banget,Cahaya Mata,4 tahun lalu,February 2021
Masih alami,Reka Tenaya,4 tahun lalu,February 2021
"Tempatnya bagus. Fasilitas lumayanlah. Cuman rada kecewa karna gak ada pengawas sumbernya. Banyak taneman air kecabut,rusak karna ulah pengunjung. Saran sih agar diperbaiki dan di kasih batas area yg boleh dipakai renang dan tidak. Agar tidak rusak dan tercemar",Mia Mio,4 tahun lalu,February 2021
Untuk pecinta alam wajib kesini,Delilinda Damayanti,4 tahun lalu,February 2021
"Keren banget apalagi sekrang ada taman bunganya, gk rugi gaes datang ke sini",zainul rozikin407,4 tahun lalu,February 2021
"Pemandian Putri Raja yang bersih dan Nyaman dengan pemandangan tumbuhan air yang indah di bawah air, apalagi kalau bawa gopro, mantabs",permata gobel malang,4 tahun lalu,February 2021
menurutku kurang luas ya heheeeee,Irenna Wahida,4 tahun lalu,February 2021
tempat yang bagus,Tegar Herlambang,4 tahun lalu,February 2021
"Pemandangan bawah airnya bagus, sangat layak untuk dikunjungi",Anugrah Firmansyah,4 tahun lalu,February 2021
Buat rolex suasana desa,Mazsuko Has,4 tahun lalu,February 2021
Tempatnya kolamnya keren,32_ SHAFFA LUNA MAULID SANDIRA PUTRI,4 tahun lalu,February 2021
Bagus,Ayu Arsheila,4 tahun lalu,February 2021
Tempat nya sejuk air nya alami,Lentera Kehidupan,4 tahun lalu,February 2021
itu sama,Fiuca Fardana,4 tahun lalu,February 2021
Tempat yang masih asri...dan mulai di kembangkan fasilitas yg memadai,Josa Maru,4 tahun lalu,February 2021
"Bersih, bening dan segerrrr",Feach Muslich,4 tahun lalu,February 2021
Mantuuul,hai. kawan!,4 tahun lalu,February 2021
Adem,antonius arisal,4 tahun lalu,February 2021
Bagus... Harga jajan murah banget,EBI-R,4 tahun lalu,February 2021
Tempatnya asik buat berenang dengan nuasa alam yg masih terjaga alami,nurchamidah 0720,4 tahun lalu,February 2021
"Bagi Anda yang tidak bisa atau tidak bisa berenang, Sumber Sira merupakan lokasi yang cocok untuk berbasah-basahan. Pasalnya, airnya tidak terlalu dalam dan juga jernih. Bagi Anda yang tidak bisa berenang, destinasi wisata di Malang ini …",Lailatul Makmuna,4 tahun lalu,February 2021
"Udh beberapa kali kesini tetep seru, tapi sekarang rumput airnya semakin sedikit dan hilang, dan pengelolaannya sudah bagus, parkir murah, cuma tempat tunggu dan gazebo masih sedikit dan tempat teduhan hujan kurang jadi masih perlu ditambah, toilet sudah baik ditambah lagi",Muamaruf I,4 tahun lalu,February 2021
Murqh meriah,Saihu Rizki,4 tahun lalu,February 2021
"Masih blm siap kparkiran msh sedikit dan jauh, kolam nya ga nyaman ga jd berenang krn anak ga mau",Hashin Afthan,5 tahun lalu,February 2020
Air jernih,Willy Wisnu,5 tahun lalu,February 2020
Tempatnya bagus cocok untuk liburan bareng teman2,Airlangga Kusuma,5 tahun lalu,February 2020
"Sumber Sirah adalah salah satu tempat wisata di kabupaten Malang yang mengandalkan keasrian alam. Tempatnya begitu masih sangat asri dekat dengan persawahan, airnya begitu segar, harga yang terjangkau. Dan jalan untuk menuju kesana masih ada yang tanah masih belum di aspal jadi masih terasa suasana desanya.",Agung Tri Setiawan,5 tahun lalu,February 2020
Enak untuk wisata,Muhammad Darus,5 tahun lalu,February 2020
Airnya jernih bersih,Fanny Kirana,5 tahun lalu,February 2020
"Bagus, keren, bagus",Yasin Yusuef,5 tahun lalu,February 2020
"Airnya seger dan jernih bgt, bisa lihat tanaman air juga sambil menyelam. Minusnya sarpras pendukungnya kurang, spt tempat ganti baju ala kadarnya, warung yg ga banyak, tempat istirahat dan mushola yg minim",toko azmina,5 tahun lalu,February 2020
"Murah, dekat dan bersih",yulia ainur,5 tahun lalu,February 2020
Perlu dikembangkan,Rinton Priyantoro,5 tahun lalu,February 2020
Tempat wisata malang raya yang menyenangkan,Rudy Kurniawan,5 tahun lalu,February 2020
Aku dr surabaya kmaren brngkat jam 3 pagi cuman pengen kesini. Udah 5 kali kesini. Karcis nya naik mulu setiap kali kesini. Tapi gpp udah murah dan bagus,Parah ment,5 tahun lalu,February 2020
Luar biasa,aris sugiharti,5 tahun lalu,February 2020
cukup baik,chocobee,5 tahun lalu,February 2020
"Cukup menyenangkan,#sumbersirah#ngalam#mtma#jatim",m romaji,5 tahun lalu,February 2020
Tempatnya seru sih. Bisa buat berenang dan airnya itu bening banget dan juga seger banget. Terdapat tanaman bawah air yang sangat bagus untuk berfoto atau video di bawah air. Namun saran saja kalau datang kesini pagi2 sekali saja karena …,hendi nur,5 tahun lalu,February 2020
Wisata air yang alami . airnya terjaga dan tanaman tanaman terawat dengan baik. Dan terjangkau .,Ikrom Bgr,5 tahun lalu,February 2020
Perlu sentuhan  yg menarik u jadi destinasi yg semakin baik,Yoe Nst,5 tahun lalu,February 2020
Seger banget renang disini,Moh. Andi Pradana,5 tahun lalu,February 2020
Pemandian asli dari sumber. Air yang sangat jernih. Seger dan bagus buat foto underwater,Andi Muhammad Akbar,5 tahun lalu,February 2020
Bagus,Taufik Ardianto,5 tahun lalu,February 2020
Keren,Muh Fagi,5 tahun lalu,February 2020
"Bersih, nyaman, asri, lingkungan sumber terawat dengan baik",andri kustono,5 tahun lalu,February 2020
Lumayan.. tapi kurang menarik..,Febry Dian,5 tahun lalu,February 2020
"Asyik banget nih sumber
Dingin dan disediakan sewa ban. Dibawah ada rumput air. Lucuuu dan asri banget
Kayak surga yg belum terjamah gituu",anifia fayruz,5 tahun lalu,February 2020
seger,a. rusyda,5 tahun lalu,February 2020
MaasyaaAllah.. Airnya jernih sekali,Angga Prastyo,5 tahun lalu,February 2020
Silahkan mampir. Wahana sumber yang sangat indah dan asri.,Febrian Riski Kurniawan,5 tahun lalu,February 2020
"Buat renang seger, tinggal mushola di bagusin lagi",Agfandhito Pamungkas Mega Putra,5 tahun lalu,February 2020
Istana yang indah,Firman S Hermawan,5 tahun lalu,February 2020
Salah satu tempat terbaik untuk rileksasi di malanh sihh. Renanh air tawarrr. Ada ikan kecil²nya juga. Ada spot menarik untuk foto underwater sih. Udah banyak yg jual case pelindunh hp buat nyelam kok. Sayangnya tempat gantinya agak antri soalnya cuma dikit,Billy Chilfi,5 tahun lalu,February 2020
"Saya suka suasananya. Airnya sangat jernih sehingga kita bisa melihat rumput air tumbuh di bawahnya. Silakan gunakan bak mandi bila ingin berenang di dekat rumput air agar tidak terinjak. Tiket masuknya hanya 5k, biaya sewa bak ukuran sedang hanya 5k",Angelia Lionardi,5 tahun lalu,February 2020
"Jika ingin menikmati wisata pemandian alam yang alami, disini tempatnya di antara sawah dan sumber air yang masih segar, untuk tiket masuk murah hanya 5000 rupiah, bisa mandi sepuasnya tapi harap di jaga untuk tidak merusak tanaman air.",Daduk Pranata,5 tahun lalu,February 2020
Tempatnya asri nyaman ...cocok untuk anak2 juga. Nyesel kalau gak berenang.Tiket masuk murah meriah. Tapi sayang pengunjungnya kurang disiplin buang sampahnya,Endang Agustini,5 tahun lalu,February 2020
Asri,Solikin Artex,5 tahun lalu,February 2020
"Murah cuma 5 ribu, bagus suegerrrrr",Chandra Junior,5 tahun lalu,February 2020
"Kolam renang tapi alami, mantap lur",Ilham Dimas W,5 tahun lalu,February 2020
"Cukup bagus kondisi air jernih, sayang sampah plastik masih ada didasar air.",Riski Aida,5 tahun lalu,February 2020
Kurang perawatan nya,SURYOARI CHANNEL,5 tahun lalu,February 2020
Seger airnyaa bening juga dan gak padet pas hari Sabtu datengnya,Musada Teguh,5 tahun lalu,February 2020
Alam,wisnu,5 tahun lalu,February 2020
Bagus,Barokil A'lam,5 tahun lalu,February 2020
pemandian air sumber penggunungan.. kurang nyaman untuk bersantai,yudahauz mic,5 tahun lalu,February 2020
Nyaman & enak,Syaiful Arisa,5 tahun lalu,February 2020
Akan lebih bagus jika kolamnya lebih di rapikan pada bagian dekat pohon besarnya dan aliran airnya lebih di tata kembali,Jo Reynaldi,5 tahun lalu,February 2020
Lumayan msh dlm pengembangan mungkin😁 …,Maz Pri,5 tahun lalu,February 2020
Saya tinggal dekat dengan sumber sira,DAVID OFFICIAL,5 tahun lalu,February 2020
Bagus,Muchammad Chadafy,5 tahun lalu,February 2020
Jozzz,Andi maulana Ibrahim,5 tahun lalu,February 2020
"Tempatnya bagus, rindang. Kolamnya tidak terlalu dalam. Ada persewaan ban.nya. banyak warung²nya. Kekurangannya yaitu minim sekali tempat untuk mandi/membilas tubuh. Jadi harus ngantri lama apalagi kalau pengunjungnya ramai. …",M. Nashrullah Burhanuddin,5 tahun lalu,February 2020
Seger alami,Hendra Nasution78,5 tahun lalu,February 2020
"Wisata Sumber Sirah Malang merupakan salah satu sumber mata air (sungai) yang membentuk seperti kolam yang alami, air nya sangat jernih dan cukup terjaga kebersihan nya. Karena letak nya berada di area persawahan, udara di lokasi tersebut …",Afriyadi M,5 tahun lalu,February 2020
Ekosistem alamnya masih terjaga... jadi pas berenang masih banyak ikan²,Dedik Setyo,5 tahun lalu,February 2020
air bersih cuman sedikit kurang perawatan dari daun-daun kering dan terlebih lagi pengunjung harap berhati-hati dengan dasarnya karena dasarnya tidak rata,nur farizal difirmansyah,5 tahun lalu,February 2020
"tempat ny bagus bngt, d liat dari atas mngkin terlihat Biasa aja
tp begtu nyelam, waaahhhh subhanallah bgus bngt view nya",ayu lestari,5 tahun lalu,February 2020
Sebuah tempat rekreasi domestik yg alami dengan sumber mata air yang besar...bisa renang...,Heri senibudaya,5 tahun lalu,February 2020
Orang kecil bepergian,Monter Mulia,5 tahun lalu,February 2020
Tempat yang bagus,Achmada Fiqri A Rasyad,5 tahun lalu,February 2020
"Airnya bersih, dingin tapi seger. Cocok untuk berenang santai, direkomendasikan untuk yang bisa berenang (anak kecil harus didampingi).",Akbar Boby (Three Saudara),5 tahun lalu,February 2020
Kemenanganrrrr,Agung Santiko,5 tahun lalu,February 2020
Bagus alami,Varid hamdi,5 tahun lalu,February 2020
Airnya dingin,Edo Sandyardi,5 tahun lalu,February 2020
"Tempat pemandian sumber, air jernih, terdapat ikan ikan dan tumbuhan, mudah dijangkau",Muhammad Ali Hadiyat Sofyan,5 tahun lalu,February 2020
"Kondisi saat musim liburan jam 10.00 sudah ramai pengunjungnya, sebaiknya pagi2 kalau berkunjung ke tempat wisata ini.  Nasib tempat wisata disini sama dengan yang lain,  rusak karena banyak sampah dibuang sembarangan. Ekosistem tumbuhan airnya juga sudah banyak berubah, karena kurang perawatan.",Denny Yuniar (김대안),5 tahun lalu,February 2020
Tempat mandi mandi air tawar di kabupaten Malang,Taufiqurrahman Idrus,5 tahun lalu,February 2020
